四季,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
民视第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
民视台湾台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
民视,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
大爱电视,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=209
中视,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4
中视经典台,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124
华视,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6
三立综合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=169
客家电视台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
八大综艺台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=114
中视精采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123
TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227
爱尔达娱乐台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19
靖天综合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21
靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22
新唐人亚太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223
ARIRANG阿里郎频道,https://www.4gtv.tv/channel/4gtv-4gtv079?set=1&ch=189
原住民族电视台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=273
东森购物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=286
LiveABC互动英语频道,https://www.4gtv.tv/channel/4gtv-live030?set=1&ch=188
达文西频道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=11
ELTV生活英语台,https://www.4gtv.tv/channel/litv-longturn20?set=1&ch=106
Nick Jr.儿童频道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=219
靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15
靖洋卡通,https://www.4gtv.tv/channel/4gtv-4gtv057?set=1&ch=59
i-Fun动漫台,https://www.4gtv.tv/channel/litv-ftv15?set=1&ch=60
MOMO亲子台,https://www.4gtv.tv/channel/4gtv-live107?set=1&ch=231
东森购物一台,https://www.4gtv.tv/channel/4gtv-live047?set=1&ch=173
镜电视,https://www.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268
东森新闻台,https://www.4gtv.tv/channel/4gtv-live114?set=1&ch=234
华视新闻,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
民视新闻台,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31
三立iNEWS,https://www.4gtv.tv/channel/4gtv-live089?set=1&ch=229
TVBS新闻台,https://www.4gtv.tv/channel/4gtv-live072?set=1&ch=129
东森财经新闻台,https://www.4gtv.tv/channel/4gtv-live019?set=1&ch=211
中视新闻,https://www.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=33
中天新闻台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=30
寰宇新闻台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=36
寰宇台湾台,https://www.4gtv.tv/channel/litv-longturn15?set=1&ch=280
SBN全球财经台,https://www.4gtv.tv/channel/4gtv-live060?set=1&ch=224
寰宇财经台,https://www.4gtv.tv/channel/litv-longturn23?set=1&ch=281
TVBS,https://www.4gtv.tv/channel/4gtv-4gtv073?set=1&ch=183
东森购物二台,https://www.4gtv.tv/channel/4gtv-live046?set=1&ch=174
民视综艺台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16
猪哥亮歌厅秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=113
