四季,#genre#
東森新聞,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv152
中天新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv009
民視新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv13
三立新聞,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv229
TVBS-新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv072
TVBS,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv073
非凡新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv010
東森財經新聞,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv153
寰宇新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn14
寰宇新聞台灣台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn15
寰宇財經台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn23
非凡商業台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv048
台視新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv051
中視新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv074
華視新聞,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv052
鏡電視新聞台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv075
BloombergTV,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv283
台視財經台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv056

民視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv155
民視第一台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv003
民視台灣台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv001
民視影劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv09
民視旅遊台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-ftv07
民視綜藝台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv004
中視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv040
中視經典台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv080
中視菁采台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv064
中天亞洲台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv109
華視,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv041
靖天綜合台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv046
靖天國際台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv063
靖天戲劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv058
靖天日本台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv047
靖天映畫台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv055
靖天卡通台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv044
靖天育樂台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv062
靖天資訊台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv065
靖天電影台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv061
靖天歡樂台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv054
龍華偶像台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn12
龍華卡通台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn01
龍華戲劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn18
龍華日韓台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn11
龍華經典台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn21
龍華電影台,http://live.yiwo.uk:8080/live?token=yiwo&id=litv-longturn03
靖洋戲劇台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv045
靖洋卡通-Nice-Bingo,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv057
TVBS-綜藝台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv284
TVBS-歡樂台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv068
TVBS-精采台,http://live.yiwo.uk:8080/live?token=yiwo&id=4gtv-4gtv067
