歐飛,#genre#
parse=1
台视,https://www.ofiii.com/channel/watch/4gtv-4gtv066
中视,https://www.ofiii.com/channel/watch/4gtv-4gtv040
华视,https://www.ofiii.com/channel/watch/4gtv-4gtv041
公视金奖,https://www.ofiii.com/channel/watch/ofiii13
好消息,https://www.ofiii.com/channel/watch/litv-ftv16
好消息2,https://www.ofiii.com/channel/watch/litv-ftv17
ELTV生活英语,https://www.ofiii.com/channel/watch/litv-longturn20
龙华卡通,https://www.ofiii.com/channel/watch/litv-longturn01
龙华经典,https://www.ofiii.com/channel/watch/litv-longturn21
龙华电影,https://www.ofiii.com/channel/watch/litv-longturn03
龙华日韩,https://www.ofiii.com/channel/watch/litv-longturn11
龙华偶像,https://www.ofiii.com/channel/watch/litv-longturn12
龙华戏剧,https://www.ofiii.com/channel/watch/litv-longturn18
欧飞电影,https://www.ofiii.com/channel/watch/ofiii74
YES娱乐,https://www.ofiii.com/channel/watch/ofiii47
SMART知识,https://www.ofiii.com/channel/watch/litv-longturn19
亚洲旅游,https://www.ofiii.com/channel/watch/litv-longturn17
东森娱乐,https://www.ofiii.com/channel/watch/ofiii32
TVBS食尚玩家,https://www.ofiii.com/channel/watch/ofiii31
TVBS综艺,https://www.ofiii.com/channel/watch/ofiii42
TVBS政论,https://www.ofiii.com/channel/watch/ofiii56
寰宇新闻,https://www.ofiii.com/channel/watch/litv-longturn14
寰宇新闻台湾,https://www.ofiii.com/channel/watch/litv-longturn15
寰宇财经,https://www.ofiii.com/channel/watch/litv-longturn23
中天新闻,https://www.ofiii.com/channel/watch/4gtv-4gtv009
中视新闻,https://www.ofiii.com/channel/watch/4gtv-4gtv074
台视新闻,https://www.ofiii.com/channel/watch/4gtv-4gtv052
华视新闻,https://www.ofiii.com/channel/watch/4gtv-4gtv052
掏掏新闻,https://www.ofiii.com/channel/watch/ofiii50
台湾戏剧,https://www.ofiii.com/channel/watch/litv-longturn22
中天亚洲精采,https://www.ofiii.com/channel/watch/ofiii36
第1商业,https://www.ofiii.com/channel/watch/4gtv-4gtv104
第1财经,https://www.ofiii.com/channel/watch/ofiii64
Focus探索新知,https://www.ofiii.com/channel/watch/ofiii82
Focus风采戏剧,https://www.ofiii.com/channel/watch/ofiii1048
饕客揪爱吃,https://www.ofiii.com/channel/watch/ofiii96
银发俱乐部,https://www.ofiii.com/channel/watch/ofiii99
哆啦A梦,https://www.ofiii.com/channel/watch/ofiii22
蜡笔小新,https://www.ofiii.com/channel/watch/ofiii165
我们这一家,https://www.ofiii.com/channel/watch/ofiii166
间谍家家酒,https://www.ofiii.com/channel/watch/ofiii171
鬼灭之刃,https://www.ofiii.com/channel/watch/ofiii170
猎人,https://www.ofiii.com/channel/watch/ofiii167
队长小翼,https://www.ofiii.com/channel/watch/ofiii169
中华一番,https://www.ofiii.com/channel/watch/ofiii168
关於我转生变成史莱姆这档事,https://www.ofiii.com/channel/watch/ofiii173
人气动漫预告,https://www.ofiii.com/channel/watch/ofiii97
琅琊榜,https://www.ofiii.com/channel/watch/ofiii101
芈月传,https://www.ofiii.com/channel/watch/ofiii105
军师联盟,https://www.ofiii.com/channel/watch/ofiii106
军师联盟2 虎啸龙吟,https://www.ofiii.com/channel/watch/ofiii107
安乐传,https://www.ofiii.com/channel/watch/ofiii108
锦衣之下,https://www.ofiii.com/channel/watch/ofiii109
楚乔传,https://www.ofiii.com/channel/watch/ofiii110
三十而立,https://www.ofiii.com/channel/watch/ofiii115
去有风的地方,https://www.ofiii.com/channel/watch/ofiii116
以爱为营,https://www.ofiii.com/channel/watch/ofiii117
向风而行,https://www.ofiii.com/channel/watch/ofiii118
以家人之名,https://www.ofiii.com/channel/watch/ofiii119
我的婆婆怎麽那麽可爱,https://www.ofiii.com/channel/watch/ofiii152
村里来了个暴走女外科,https://www.ofiii.com/channel/watch/ofiii153
一把青,https://www.ofiii.com/channel/watch/ofiii154
茶金,https://www.ofiii.com/channel/watch/ofiii155
四楼的天堂,https://www.ofiii.com/channel/watch/ofiii156
国会频道1,https://www.ofiii.com/channel/watch/4gtv-4gtv084
国会频道2,https://www.ofiii.com/channel/watch/4gtv-4gtv085
东森购物1,https://www.ofiii.com/channel/watch/4gtv-4gtv102
东森购物2,https://www.ofiii.com/channel/watch/4gtv-4gtv103
东森购物快闪台,https://www.ofiii.com/channel/watch/ofiii87
