新闻,#genre#
中天新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv009
非凡新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv010
台视新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv051
华视新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv052
TVBS新闻台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv072
中视新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv074
镜新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv075
东森新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv152
寰宇新闻台湾台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv156
美国之音,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv03
半岛新闻,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv10
民视新闻台,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv13
寰宇新闻台,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn14
综合,#genre#
民视台湾台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv001
民视,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv002
民视第一台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv003
中视,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv040
华视,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv041
客家电视台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv043
靖天综合台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv046
靖天国际台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv063
靖天资讯台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv065
台视,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv066
TVBS,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv073
阿里郎,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv079
国会频道1,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv084
国会频道2,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv085
中天亚洲台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv109
民视,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv155
好消息1,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv16
好消息2,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv17
生活英语台,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn20
综艺,#genre#
民视综艺台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv004
猪哥亮歌厅秀,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv006
八大精彩台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv034
八大综艺台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv039
靖天欢乐台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv054
靖天育乐台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv062
中视菁采台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv064
TVBS精采台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv067
TVBS欢乐台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv068
爱尔达娱乐,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv070
电影,#genre#
影迷数位电影台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv011
amc电影台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv017
采昌影剧台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv049
靖天映画,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv055
靖天电影台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv061
民视影剧,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv09
龙华洋片,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn02
龙华电影,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn03
戏剧,#genre#
公视戏剧,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv042
靖洋戏剧台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv045
靖天日本台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv047
靖天戏剧台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv058
中视经典台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv080
龙华日韩,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn11
龙华偶像,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn12
龙华戏剧,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn18
龙华经典,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn21
台湾戏剧台,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn22
财经,#genre#
非凡商业台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv048
台视财经,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv056
第1商业台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv104
东森财经新闻,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv153
纪录,#genre#
视纳华仁纪实,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv013
Globetrotter,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv016
达文西频道,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv018
体育,#genre#
时尚运动X,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv014
GinxTV,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv053
智林体育台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv101
博斯魅力,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn04
博斯高球1,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn05
博斯高球2,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn06
博斯运动1,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn07
博斯运动2,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn08
博斯网球,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn09
博斯无限,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn10
博斯无限2,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn13
少儿,#genre#
靖天卡通台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv044
靖洋卡通台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv057
龙华卡通,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn01
音乐,#genre#
古典音乐台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv059
TRACE URBAN,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv082
MEZZO LIVE,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv083
旅游,#genre#
亚洲旅游台,http://live.yiwo.uk:8080/snowai?token=&id=4gtv-4gtv076
民视旅游,http://live.yiwo.uk:8080/snowai?token=&id=litv-ftv07
教育,#genre#
Smart知识台,http://live.yiwo.uk:8080/snowai?token=&id=litv-longturn19


