台湾,#genre#
台视,https://www.youtube.com/watch?v=uDqQo8a7Xmk&ab_channel=TTVLIVE%E5%8F%B0%E8%A6%96%E7%9B%B4%E6%92%AD
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8&ab_channel=%E5%8F%B0%E8%A6%96%E6%96%B0%E8%81%9ETTVNEWS
中视新闻台,https://www.youtube.com/watch?v=TCnaIE_SAtM&ab_channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9EHD%E7%9B%B4%E6%92%AD%E9%A0%BB%E9%81%93%EF%BD%9CTaiwanCTVnewsHDLive
华视新闻台,https://www.youtube.com/watch?v=wM0g8EoUZ_E&ab_channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9ECH52
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA&ab_channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E7%B6%B2FormosaTVNewsnetwork
公共电视台,https://www.youtube.com/watch?v=C6gYqSHLRw4&ab_channel=%E5%85%AC%E8%A6%96%E7%B6%B2%E8%B7%AF%E7%9B%B4%E6%92%AD%E9%A0%BB%E9%81%93
公视台语台,https://www.youtube.com/watch?v=6KlRR_DGhmI&ab_channel=%E5%85%AC%E8%A6%96%E5%8F%B0%E8%AA%9E%E5%8F%B0
公视新闻,https://www.youtube.com/@PNNPTS/live
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o&ab_channel=%E9%8F%A1%E6%96%B0%E8%81%9E
寰宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
寰宇新闻台湾台,https://www.youtube.com/watch?v=w87VGpgd90U&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
寰宇新闻财经台,https://www.youtube.com/@globlemoney/live
东森新闻,https://www.youtube.com/watch?v=V1p33hqPrUk_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
东森财经新闻,https://www.youtube.com/watch?v=WHEPzbFA3hw&ab_channel=57%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E
NOWnews AI主播,https://www.youtube.com/@NOWnews-sp2di/live
中天新闻台,https://www.youtube.com/watch?v=oIgbl7t0S_w&ab_channel=%E4%B8%AD%E5%A4%A9%E9%9B%BB%E8%A6%96
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE&ab_channel=%E4%B8%AD%E5%A4%A9%E6%B7%B1%E5%96%89%E5%9A%A8
中天亚洲台,https://www.youtube.com/@CtiAsia/live
TVBS新闻,https://www.youtube.com/watch?v=m_dhMSvUCIc&ab_channel=TVBSNEWS
三立新闻台,https://www.youtube.com/watch?v=oZdzzvxTfUY&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE&ab_channel=%E4%B8%89%E7%AB%8BiNEWS
新唐人亚太电视台,https://www.youtube.com/watch?v=WIhgU_mc05A&ab_channel=%E6%96%B0%E5%94%90%E4%BA%BA%E4%BA%9E%E5%A4%AA%E9%9B%BB%E8%A6%96%E5%8F%B0NTDAPTV
大爱一台,https://www.youtube.com/watch?v=oV_i3Hsl_zg&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
大爱一台(备),https://www.youtube.com/watch?v=MIqUplvSRWA&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
大爱二台(全球),https://www.youtube.com/watch?v=DTNkEm6jaqQ&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
大爱二台(台湾),https://www.youtube.com/watch?v=OKvWtVoDR8I&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
TaiwanPlus TV,https://www.youtube.com/@TaiwanPlusLive/live
三大一台,https://www.youtube.com/@SDTV55ch/live
彰视地方台,https://www.youtube.com/@user-uu8fq3tg9h/live
彰化生活台,https://www.youtube.com/@user-ss9pr1ig8x/live
彰化资讯台,https://www.youtube.com/@user-zv7rc6vi6w/live
国会频道１,https://www.youtube.com/watch?v=4HysYHJ6GkY&ab_channel=%E5%9C%8B%E6%9C%83%E9%A0%BB%E9%81%93
国会频道２,https://www.youtube.com/watch?v=Lj8OWF6nzcg&ab_channel=%E5%9C%8B%E6%9C%83%E9%A0%BB%E9%81%93
净土宗网路电视,https://www.youtube.com/@user-ry2md7sy1v/live
正德电视,https://www.youtube.com/watch?v=CHDb5D0DCkw&ab_channel=%E6%AD%A3%E5%BE%B7%E9%9B%BB%E8%A6%96%E5%8F%B0
华藏卫视,https://www.youtube.com/watch?v=ypmrwYeLAaQ&ab_channel=HZTV%E8%8F%AF%E8%97%8F%E8%A1%9B%E8%A6%96%E7%9B%B4%E6%92%AD2%E5%8F%B0
海豚综合台,https://www.youtube.com/@24811001/live
十方法界,https://www.youtube.com/@cbtv2525/live
信大电视台,https://www.youtube.com/@user-mj5bl5ze5o/live
诚心电视台,https://www.youtube.com/@chengsintv2/live
桐瑛台中电视台,https://www.youtube.com/@user-xh5zh4hi9n/live
桐瑛虎尾电视台,https://www.youtube.com/@user-de3rj3ee4y/live
桐瑛台南电视台,https://www.youtube.com/@user-bi8wg3wk1y/live
叫您第一名,https://www.youtube.com/@bdtvbest/live
三圣电视台,https://www.youtube.com/@tsimtv-01/live
SBN全球财经台,https://www.youtube.com/@user-ro8bu3to2t/live
运通财经台,https://www.youtube.com/@EFTV01/live
美好购物一台,https://www.youtube.com/watch?v=7IyxOiGMLgw&ab_channel=ViVaTV%E7%BE%8E%E5%A5%BD%E5%AE%B6%E5%BA%AD%E8%B3%BC%E7%89%A9
美好购物二台,https://www.youtube.com/watch?v=lEXITHxcagI&ab_channel=ViVaTV%E7%BE%8E%E5%A5%BD%E5%AE%B6%E5%BA%AD%E8%B3%BC%E7%89%A9
东森购物一台,https://www.youtube.com/watch?v=ViJ3XiN6Q3M&ab_channel=Live%E6%9D%B1%E6%A3%AE%E8%B3%BC%E7%89%A9%E5%8F%B0
东森购物二台,https://www.youtube.com/watch?v=_Vlzn9qAHD4&ab_channel=Live%E6%9D%B1%E6%A3%AE%E8%B3%BC%E7%89%A9%E5%8F%B0
东森购物三台,https://www.youtube.com/watch?v=Z50JFuNgvB0&ab_channel=Live%E6%9D%B1%E6%A3%AE%E8%B3%BC%E7%89%A9%E5%8F%B0
东森购物四台,https://www.youtube.com/watch?v=u0NYyH3ZesE&ab_channel=Live%E6%9D%B1%E6%A3%AE%E8%B3%BC%E7%89%A9%E5%8F%B0
momo购物一台,https://www.youtube.com/watch?v=_pZQ1Lk0xMA&ab_channel=momo%E8%B3%BC%E7%89%A9%E4%B8%80%E5%8F%B0CH48
momo购物二台,https://www.youtube.com/watch?v=xbNWkUyxQGM&ab_channel=momo%E8%B3%BC%E7%89%A9%E4%BA%8C%E5%8F%B0CH35
幸福空间居家台,https://www.youtube.com/@plus8394/live
 
影剧直播,#genre#
综艺玩很大,https://www.youtube.com/watch?v=QsJ1AYJ1ils&ab_channel=%E7%B6%9C%E8%97%9D%E7%8E%A9%E5%BE%88%E5%A4%A7Mr.Player
综艺大哥大,https://www.youtube.com/watch?v=oCAq-bo0dFI&ab_channel=%E4%B8%AD%E8%A6%96%E7%B6%93%E5%85%B8%E7%B6%9C%E8%97%9D
华视戏剧频道,https://www.youtube.com/@cts_drama/live
同学来了,https://www.youtube.com/watch?v=-05Oe7Axj7c&ab_channel=%E5%90%8C%E5%AD%B8%E4%BE%86%E4%BA%86
猪哥会社,https://www.youtube.com/watch?v=htGDPsz2BYI&ab_channel=%E8%B1%AC%E5%93%A5%E6%9C%83%E7%A4%BE
饥饿游戏,https://www.youtube.com/watch?v=A98LJq71BZg&ab_channel=%E9%A3%A2%E9%A4%93%E9%81%8A%E6%88%B2HungerGames
万秀猪王,https://www.youtube.com/watch?v=ADDSmXoPDY8&ab_channel=%E4%B8%AD%E8%A6%96%E7%B6%93%E5%85%B8%E7%B6%9C%E8%97%9D
天才冲冲冲,https://www.youtube.com/@CTSSHOW/live
现代嘉庆君,https://www.youtube.com/watch?v=IsFtLpSuf_g&ab_channel=%E8%8F%AF%E8%A6%96%E7%B6%9C%E8%97%9D%E9%A0%BB%E9%81%93
MIT 台湾志,https://www.youtube.com/@ctvmit/live
大陆寻奇,https://www.youtube.com/@ctvchinatv/live
非凡大探索(台北),https://www.youtube.com/watch?v=dZvFcfw0vVg&ab_channel=%E9%9D%9E%E5%87%A1%E5%A4%A7%E6%8E%A2%E7%B4%A2
非凡大探索(台中),https://www.youtube.com/watch?v=mcG4uyefQnI&ab_channel=%E9%9D%9E%E5%87%A1%E5%A4%A7%E6%8E%A2%E7%B4%A2
非凡大探索(高雄),https://www.youtube.com/watch?v=voPSQbg2KJc&ab_channel=%E9%9D%9E%E5%87%A1%E5%A4%A7%E6%8E%A2%E7%B4%A2
精彩类戏剧,https://www.youtube.com/watch?v=W1pHB9VGjrw&ab_channel=%E5%8F%B0%E8%A6%96%E6%99%82%E5%85%89%E6%A9%9F
台湾启示录频道,https://www.youtube.com/@ebcapocalypse/live
蓝色水玲珑,https://www.youtube.com/watch?v=298QROP4xe0&ab_channel=%E6%B0%91%E8%A6%96%E6%88%B2%E5%8A%87%E9%A4%A8FormosaTVDramas
我爱冰冰Show,https://www.youtube.com/watch?v=RsiJlzZPxjQ&ab_channel=%E6%88%91%E6%84%9B%E5%86%B0%E5%86%B0Show
掌声响起,https://www.youtube.com/watch?v=EVATvtQHjyg&ab_channel=BIF%E7%9B%B8%E4%BF%A1%E6%9C%AA%E6%9D%A5%E5%AE%98%E6%96%B9%E9%A2%91%E9%81%93
Asian Foods,https://www.youtube.com/watch?v=nUzOmgx3RvM&ab_channel=LemonFilms%E6%AA%B8%E6%AA%AC%E8%81%B7%E4%BA%BA%E6%8E%A2%E7%B4%A2%E9%A0%BB%E9%81%93
网路红什麽,https://www.youtube.com/watch?v=XJ2V1P9G1U4&ab_channel=%E7%9B%B4%E6%92%AD%E7%B7%9A%E4%B8%8A
